area_type,availability,location,size,total_sqft,bath,balcony,price,bhk
Plot  Area,Ready To Move,Karuna Nagar,3 Bedroom,2500.0,3.0,2.0,190.0,3.0
Super built-up  Area,18-Dec,Whitefield,2 BHK,1216.0,2.0,1.0,75.0,2.0
Super built-up  Area,17-Jun,Nallurhalli,2 BHK,1044.0,2.0,1.0,60.0,2.0
Super built-up  Area,Ready To Move,Prithvi Layout,2 BHK,1352.0,3.0,1.0,93.0,2.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1552.0,3.0,3.0,75.0,3.0
Built-up  Area,Ready To Move,Bellandur,3 BHK,1785.0,3.0,2.0,120.0,3.0
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,810.0,2.0,2.0,34.5,2.0
Super built-up  Area,18-May,Banashankari Stage V,3 BHK,1650.0,3.0,2.0,51.98,3.0
Super built-up  Area,Ready To Move,Akshayanagara East,3 BHK,1595.0,3.0,2.0,70.39,3.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1060.0,2.0,1.0,35.0,2.0
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,1410.0,2.0,3.0,65.0,3.0
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,1523.0,2.0,2.0,56.0,3.0
Super built-up  Area,19-Jan,Kanakpura Road,3 BHK,1591.0,3.0,1.0,122.0,3.0
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,1640.0,3.0,3.0,84.0,3.0
Built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,450.0,1.0,0.0,16.0,1.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1305.0,2.0,2.0,60.0,3.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1590.0,3.0,1.0,54.0,3.0
Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1240.0,2.0,3.0,45.0,2.0
Super built-up  Area,Ready To Move,MCECHS  layout,2 BHK,1200.0,2.0,2.0,54.0,2.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1100.0,2.0,1.0,41.16,2.0
Super built-up  Area,Ready To Move,Koramangala,2 BHK,1180.0,2.0,1.0,128.0,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1115.0,2.0,1.0,50.0,2.0
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,845.0,2.0,1.0,33.0,2.0
Super built-up  Area,Ready To Move,4th Block Jayanagar,3 BHK,1567.2,2.0,0.0,190.0,3.0
Super built-up  Area,Ready To Move,Channasandra,3 BHK,1310.0,2.0,2.0,45.0,3.0
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,26136.0,1.0,0.0,150.0,1.0
Built-up  Area,Ready To Move,Jyothi Nagar,2 BHK,959.0,2.0,1.0,42.5,2.0
Built-up  Area,Ready To Move,8th Phase JP Nagar,4 BHK,1200.0,4.0,1.0,140.0,4.0
Super built-up  Area,Ready To Move,Kambipura,2 BHK,883.0,2.0,1.0,37.0,2.0
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,1050.0,2.0,2.0,55.5,2.0
Super built-up  Area,21-Mar,Yelahanka,2 BHK,1390.0,2.0,2.0,70.21,2.0
Super built-up  Area,Ready To Move,Kenchenahalli,3 BHK,1280.0,2.0,2.0,69.0,3.0
Plot  Area,Ready To Move,Lingarajapuram,7 Bedroom,1280.0,5.0,3.0,150.0,7.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1614.0,3.0,2.0,95.0,3.0
Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,1000.0,2.0,0.0,58.0,2.0
Super built-up  Area,18-Apr,Marathahalli,2 BHK,1196.0,2.0,2.0,57.9,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1220.0,3.0,2.0,57.0,3.0
Super built-up  Area,19-Apr,Ambalipura,2 BHK,950.0,2.0,1.0,31.95,2.0
Super built-up  Area,Ready To Move,Doddabommasandra,9 BHK,2400.0,8.0,2.0,325.0,9.0
Super built-up  Area,Ready To Move,Akshaya Vana,2 BHK,1141.0,2.0,1.0,55.0,2.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1200.0,2.0,2.0,51.0,2.0
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1380.0,2.0,2.0,55.0,3.0
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,855.0,2.0,1.0,32.0,2.0
Super built-up  Area,18-Sep,Chandapura,1 BHK,645.0,1.0,1.0,16.45,1.0
Super built-up  Area,Ready To Move,Chandapura,2 BHK,922.0,2.0,1.0,36.0,2.0
Built-up  Area,Ready To Move,Nagappa Reddy Layout,2 BHK,1200.0,2.0,2.0,43.2,2.0
Super built-up  Area,Ready To Move,Nagadevanahalli,3 BHK,1240.0,2.0,2.0,65.0,3.0
Super built-up  Area,18-Aug,7th Phase JP Nagar,2 BHK,1070.0,2.0,2.0,42.0,2.0
Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,2 BHK,1293.0,2.0,2.0,75.0,2.0
Built-up  Area,Ready To Move,R.T. Nagar,3 BHK,1380.0,2.0,1.0,50.0,3.0
Super built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,1599.0,3.0,2.0,80.0,3.0
Super built-up  Area,Ready To Move,Nehru Nagar,2 BHK,967.0,2.0,2.0,41.1,2.0
Super built-up  Area,Ready To Move,Silver Springs Layout,3 BHK,1885.0,3.0,3.0,90.0,3.0
Built-up  Area,Ready To Move,1st Block Koramangala,2 BHK,860.0,2.0,2.0,65.5,2.0
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,1075.0,1.0,0.0,19.5,1.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1050.0,2.0,1.0,63.5,2.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1595.0,3.0,2.0,88.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1350.0,2.0,2.0,102.0,2.0
Built-up  Area,Ready To Move,Hebbal,2 BHK,1204.0,2.0,2.0,45.0,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,2990.0,4.0,2.0,240.0,4.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1035.0,2.0,2.0,49.0,2.0
Super built-up  Area,18-Dec,ITPL,2 BHK,1000.0,2.0,1.0,29.95,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1457.0,3.0,3.0,85.0,3.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1194.0,2.0,2.0,47.0,2.0
Super built-up  Area,21-Dec,Bannerghatta,2 BHK,1100.0,2.0,1.0,66.0,2.0
Super built-up  Area,18-Mar,Whitefield,3 BHK,1655.0,3.0,3.0,120.0,3.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1691.2,3.0,1.0,115.0,3.0
Super built-up  Area,18-Jun,Ramagondanahalli,2 BHK,1215.0,2.0,1.0,46.1,2.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1155.0,2.0,0.0,50.125,2.0
Super built-up  Area,22-Jun,Hoodi,3 BHK,1639.0,3.0,2.0,129.0,3.0
Super built-up  Area,18-Apr,Sarjapur  Road,3 BHK,1685.0,3.0,1.0,135.0,3.0
Built-up  Area,Ready To Move,Kaveri Nagar,5 Bedroom,1008.0,4.0,2.0,180.0,5.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1100.0,2.0,3.0,38.0,2.0
Super built-up  Area,19-Sep,Marathahalli,3 BHK,2122.0,3.0,2.0,125.0,3.0
Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,1050.0,2.0,2.0,47.0,2.0
Built-up  Area,Ready To Move,Kengeri,2 BHK,1230.0,2.0,2.0,45.0,2.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1240.0,3.0,2.0,60.0,3.0
Built-up  Area,16-Oct,Electronic City Phase II,3 BHK,1252.0,2.0,3.0,65.0,3.0
Super built-up  Area,Ready To Move,Canara Bank Colony,3 BHK,1374.0,2.0,2.0,88.0,3.0
Super built-up  Area,18-Jul,8th Phase JP Nagar,1 BHK,500.0,1.0,1.0,30.0,1.0
Plot  Area,Ready To Move,Arekere,8 Bedroom,1200.0,8.0,2.0,225.0,8.0
Super built-up  Area,18-Dec,Hebbal,3 BHK,1355.0,3.0,2.0,83.87,3.0
Super built-up  Area,Ready To Move,Banashankari,2 BHK,1040.0,2.0,3.0,45.0,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1350.0,2.0,2.0,68.0,2.0
Super built-up  Area,18-Apr,Whitefield,4 BHK,4003.0,6.0,3.0,300.0,4.0
Super built-up  Area,Ready To Move,Hennur,3 BHK,2400.0,3.0,2.0,135.0,3.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,1560.0,3.0,1.0,90.0,3.0
Super built-up  Area,17-Jul,Anandapura,2 BHK,1151.0,2.0,1.0,43.16,2.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1360.0,2.0,2.0,47.59,3.0
Super built-up  Area,Ready To Move,Crimson Layout,2 BHK,1250.0,2.0,2.0,60.0,2.0
Super built-up  Area,19-Dec,Chandapura,3 BHK,1110.0,2.0,2.0,29.97,3.0
Built-up  Area,Ready To Move,Hennur Road,2 BHK,1015.0,2.0,2.0,50.0,2.0
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,1351.0,2.0,2.0,78.0,3.0
Super built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,960.0,2.0,2.0,50.0,2.0
Super built-up  Area,18-May,Virat Nagar,2 BHK,1110.0,2.0,2.0,52.0,2.0
Built-up  Area,Ready To Move,R.T. Nagar,3 BHK,1680.0,3.0,2.0,72.0,3.0
Plot  Area,Ready To Move,Arekere,3 Bedroom,2400.0,3.0,1.0,180.0,3.0
Plot  Area,18-Apr,Yemlur,4 Bedroom,11000.0,5.0,3.0,2000.0,4.0
Built-up  Area,18-Mar,Ramamurthy Nagar Extension,3 BHK,1350.0,3.0,2.0,48.6,3.0
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1254.0,2.0,2.0,47.0,2.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,1255.0,3.0,2.0,115.0,3.0
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,1051.0,2.0,3.0,61.0,2.0
Plot  Area,Ready To Move,"2nd phase jp nagar, jp nagar",3 Bedroom,1200.0,3.0,1.0,205.0,3.0
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,1099.0,2.0,2.0,65.0,2.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,2650.0,4.0,3.0,199.0,3.0
Built-up  Area,18-May,Mathikere Extension,4 Bedroom,2000.0,2.0,1.0,160.0,4.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,1541.0,2.0,2.0,130.0,2.0
Plot  Area,18-May,Sarjapur  Road,3 Bedroom,1200.0,3.0,2.0,70.0,3.0
Built-up  Area,Ready To Move,Whitefield,2 BHK,1125.0,2.0,2.0,45.0,2.0
Super built-up  Area,Ready To Move,Vittasandra,3 BHK,1650.0,3.0,2.0,85.0,3.0
Super built-up  Area,Ready To Move,Ashwini layout,1 BHK,834.0,1.0,1.0,62.0,1.0
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3 BHK,1320.0,3.0,2.0,60.0,3.0
Plot  Area,Ready To Move,Malleshpalya,3 Bedroom,1200.0,3.0,1.0,149.0,3.0
Plot  Area,Ready To Move,Indra Nagar,8 Bedroom,1000.0,7.0,0.0,160.0,8.0
Super built-up  Area,19-Apr,Mysore Road,3 BHK,1500.0,3.0,2.0,74.0,3.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,4400.0,5.0,2.0,500.0,4.0
Plot  Area,Ready To Move,Moodalapalya,1 Bedroom,600.0,1.0,0.0,52.0,1.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1180.0,2.0,2.0,70.0,2.0
Super built-up  Area,Ready To Move,Kadugodi,2 BHK,1010.0,2.0,1.0,50.0,2.0
Super built-up  Area,Ready To Move,Channasandra,2 BHK,1070.0,2.0,1.0,38.0,2.0
Super built-up  Area,Ready To Move,Choodasandra,3 BHK,1580.0,3.0,3.0,105.0,3.0
Plot  Area,Ready To Move,BEML Layout 5th Stage,4 Bedroom,1200.0,5.0,2.0,325.0,4.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,2000.0,3.0,2.0,165.0,3.0
Super built-up  Area,Ready To Move,Iblur Village,3 BHK,1920.0,3.0,2.0,130.0,3.0
Super built-up  Area,Ready To Move,Sanjay nagar,3 BHK,1200.0,2.0,1.0,76.0,3.0
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1040.0,2.0,2.0,45.0,2.0
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,1430.0,2.0,2.0,90.0,3.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1215.0,2.0,2.0,52.85,3.0
Super built-up  Area,Ready To Move,Domlur,1 BHK,650.0,1.0,1.0,70.0,1.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1564.0,3.0,1.0,105.0,3.0
Built-up  Area,Ready To Move,Manonarayanapalya,3 Bedroom,800.0,2.0,1.0,52.0,3.0
Built-up  Area,Ready To Move,Hormavu,2 Bedroom,750.0,2.0,0.0,58.0,2.0
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1200.0,2.0,2.0,60.0,2.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1128.0,2.0,1.0,48.79,2.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200.0,2.0,2.0,44.4,2.0
Super built-up  Area,Ready To Move,Cholanayakanahalli,4 BHK,2000.0,4.0,1.0,135.0,4.0
Super built-up  Area,Ready To Move,Jakkur Plantation,3 BHK,2750.0,3.0,2.0,260.0,3.0
Plot  Area,Ready To Move,4th T block Jayanagar,4 Bedroom,2400.0,4.0,2.0,480.0,4.0
Built-up  Area,Ready To Move,Yelahanka,3 BHK,1650.0,3.0,3.0,105.0,3.0
Super built-up  Area,18-Jun,1st Block Jayanagar,2 BHK,1235.0,2.0,2.0,148.0,2.0
Built-up  Area,Ready To Move,Yelahanka,2 BHK,1200.0,2.0,2.0,55.0,2.0
Super built-up  Area,Ready To Move,M V Extenstion,6 BHK,900.0,5.0,2.0,100.0,6.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,985.0,2.0,2.0,42.0,2.0
Super built-up  Area,18-May,Ramagondanahalli,3 BHK,1475.0,2.0,2.0,63.0,3.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,3450.0,5.0,0.0,348.0,3.0
Super built-up  Area,19-Nov,Sarjapur  Road,3 BHK,1157.0,2.0,1.0,53.99,3.0
Built-up  Area,Ready To Move,Canara Bank Colony,2 BHK,900.0,2.0,3.0,35.0,2.0
Plot  Area,Ready To Move,Gottigere,4 Bedroom,2500.0,3.0,2.0,120.0,4.0
Built-up  Area,Ready To Move,GM Palaya,2 BHK,1030.0,2.0,1.0,60.0,2.0
Super built-up  Area,18-Apr,Kamdhenu Nagar,2 BHK,1000.0,2.0,1.0,46.0,2.0
Built-up  Area,Ready To Move,Sarjapur  Road,4 Bedroom,3800.0,3.0,3.0,325.0,4.0
Plot  Area,18-May,Kasavanhalli,4 Bedroom,4260.0,4.0,2.0,333.0,4.0
Plot  Area,Ready To Move,Brookefield,5 Bedroom,1950.0,6.0,3.0,175.0,5.0
Super built-up  Area,Ready To Move,Kudlu,3 BHK,1570.0,2.0,2.0,65.94,3.0
Super built-up  Area,18-Aug,Kanakapura,2 BHK,1283.0,2.0,2.0,68.0,2.0
Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,875.0,2.0,2.0,40.0,3.0
Super built-up  Area,Ready To Move,Vinayaka Nagar,2 BHK,1200.0,2.0,2.0,52.0,2.0
Plot  Area,Ready To Move,HAL 2nd Stage,3 Bedroom,2700.0,3.0,0.0,500.0,3.0
Plot  Area,Ready To Move,Konanakunte,3 Bedroom,2400.0,2.0,3.0,180.0,3.0
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,1250.0,2.0,2.0,68.75,3.0
Super built-up  Area,18-Feb,Old Madras Road,4 BHK,3630.0,6.0,1.0,196.0,4.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,990.0,2.0,2.0,37.62,2.0
Super built-up  Area,Ready To Move,Panathur,2 BHK,1199.0,2.0,1.0,85.0,2.0
Super built-up  Area,Ready To Move,Brindavan Nagar,2 BHK,1280.0,2.0,2.0,90.0,2.0
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,2750.0,4.0,0.0,413.0,4.0
Built-up  Area,Ready To Move,Reliaable Tranquil Layout,2 BHK,1190.0,2.0,1.0,55.0,2.0
Super built-up  Area,Ready To Move,Yelachenahalli,2 BHK,1100.0,2.0,2.0,60.0,2.0
Super built-up  Area,Ready To Move,RMV,3 BHK,2075.0,3.0,1.0,175.0,3.0
Built-up  Area,Ready To Move,Harlur,2 BHK,1133.0,2.0,1.0,55.0,2.0
Built-up  Area,Ready To Move,Somasundara Palya,4 BHK,2400.0,3.0,3.0,140.0,4.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1280.0,2.0,2.0,69.0,2.0
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,1250.0,3.0,2.0,65.0,3.0
Super built-up  Area,Ready To Move,Begur Road,3 BHK,1565.0,2.0,2.0,49.3,3.0
Super built-up  Area,Ready To Move,Pattanagere,3 BHK,1900.0,3.0,0.0,65.0,3.0
Built-up  Area,Ready To Move,Munnekollal,2 BHK,1080.0,2.0,2.0,45.0,2.0
Super built-up  Area,Ready To Move,Battarahalli,1 BHK,600.0,1.0,0.0,47.0,1.0
Plot  Area,Ready To Move,Himagiri Meadows,3 Bedroom,1240.0,4.0,1.0,180.0,3.0
Built-up  Area,Ready To Move,HRBR Layout,3 BHK,1335.0,2.0,1.0,87.0,3.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1246.0,2.0,1.0,67.3,2.0
Super built-up  Area,18-Dec,JP Nagar,3 BHK,3496.5,2.0,2.0,237.5,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1385.0,3.0,1.0,55.0,3.0
Super built-up  Area,18-Nov,Govindpura,3 BHK,1578.0,3.0,1.0,73.9,3.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,1140.0,2.0,2.0,46.0,2.0
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,1700.0,3.0,1.0,79.9,3.0
Plot  Area,Ready To Move,Ganganahalli,4 Bedroom,1050.0,4.0,0.0,90.0,4.0
Built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,1120.0,2.0,1.0,70.0,2.0
Super built-up  Area,Ready To Move,Electronic City,1 BHK,435.0,1.0,1.0,22.0,1.0
Super built-up  Area,Ready To Move,Magadi Road,2 BHK,1116.0,2.0,1.0,51.89,2.0
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,1480.0,3.0,2.0,95.0,3.0
Built-up  Area,Ready To Move,Hormavu,2 BHK,1000.0,2.0,2.0,50.0,2.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,1145.0,2.0,2.0,46.0,2.0
Super built-up  Area,Ready To Move,Bommasandra,2 BHK,800.0,1.0,1.0,32.0,2.0
Super built-up  Area,18-Apr,Thanisandra,2 BHK,1265.0,2.0,1.0,83.0,2.0
Super built-up  Area,21-Jul,Devanahalli,3 BHK,1700.0,3.0,0.0,88.2,3.0
Super built-up  Area,Ready To Move,Narayanappa Garden,2 BHK,1475.0,2.0,1.0,70.0,2.0
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,1265.0,2.0,2.0,55.0,2.0
Built-up  Area,Ready To Move,Anandapura,2 Bedroom,1200.0,2.0,0.0,58.0,2.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,2180.0,3.0,2.0,210.0,3.0
Super built-up  Area,Ready To Move,Brookefield,2 BHK,1080.0,2.0,3.0,50.0,2.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,2023.0,4.0,2.0,130.0,3.0
Super built-up  Area,Ready To Move,Hanumantha Nagar,2 BHK,2400.0,2.0,3.0,125.0,2.0
Super built-up  Area,Ready To Move,Kadubeesanahalli,3 BHK,1545.0,2.0,2.0,66.0,3.0
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1804.0,3.0,2.0,166.0,3.0
Plot  Area,Ready To Move,3rd Block Hrbr Layout,2 Bedroom,1200.0,2.0,1.0,200.0,2.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,1350.0,2.0,2.0,58.0,3.0
Super built-up  Area,21-Dec,Hoodi,2 BHK,1108.0,2.0,1.0,74.23,2.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1730.0,3.0,2.0,115.0,3.0
Super built-up  Area,Ready To Move,RWF West Colony,3 BHK,1427.0,2.0,3.0,70.0,3.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,935.0,2.0,1.0,35.53,2.0
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 BHK,1073.0,2.0,2.0,31.77,2.0
Built-up  Area,Ready To Move,Ananth Nagar,2 BHK,960.0,2.0,3.0,37.0,2.0
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,2215.0,4.0,2.0,150.0,3.0
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,1125.0,2.0,1.0,32.49,2.0
Built-up  Area,Ready To Move,Brookefield,2 BHK,1230.0,2.0,3.0,55.0,2.0
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,1438.0,2.0,2.0,89.0,2.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1080.0,2.0,2.0,75.0,2.0
Plot  Area,Ready To Move,Hebbal Kempapura,3 Bedroom,1200.0,3.0,2.0,125.0,3.0
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,1200.0,1.0,1.0,103.0,2.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1590.0,3.0,2.0,58.0,3.0
Super built-up  Area,Ready To Move,Seetharampalya,3 BHK,1350.0,3.0,2.0,68.0,3.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1400.0,2.0,2.0,48.0,3.0
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,1560.0,2.0,3.0,72.0,3.0
Built-up  Area,Ready To Move,Mallasandra,4 BHK,1810.0,3.0,2.0,57.0,4.0
Super built-up  Area,Ready To Move,Kanaka Nagar,3 BHK,2274.24,4.0,1.0,160.0,3.0
Super built-up  Area,18-Dec,Sonnenahalli,3 BHK,1484.0,3.0,1.0,74.18,3.0
Built-up  Area,Ready To Move,Indira Nagar,3 BHK,1650.0,3.0,3.0,220.0,3.0
Super built-up  Area,Ready To Move,Stage-4 Bommanahalli,3 BHK,1455.0,2.0,2.0,55.0,3.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2280.0,4.0,2.0,184.0,3.0
Super built-up  Area,Ready To Move,Rest House Road,5 BHK,4900.0,5.0,2.0,980.0,5.0
Built-up  Area,18-Apr,Frazer Town,3 BHK,2079.0,3.0,3.0,220.0,3.0
Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,1351.0,2.0,2.0,74.0,2.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1223.0,2.0,2.0,42.81,3.0
Super built-up  Area,18-Jun,KR Puram,3 BHK,1430.0,2.0,1.0,61.0,3.0
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,3589.0,5.0,0.0,400.0,4.0
Super built-up  Area,18-Aug,Electronic City Phase II,3 BHK,1310.0,2.0,2.0,37.83,3.0
Plot  Area,Ready To Move,Channasandra,4 Bedroom,1800.0,4.0,1.0,300.0,4.0
Plot  Area,18-May,Giri Nagar,4 Bedroom,1120.0,4.0,2.0,175.0,4.0
Super built-up  Area,18-Nov,Sarjapur  Road,2 BHK,984.0,2.0,1.0,55.0,2.0
Built-up  Area,Ready To Move,Jalahalli,3 BHK,1770.0,3.0,3.0,100.0,3.0
Plot  Area,Ready To Move,Immadihalli,2 Bedroom,900.0,3.0,1.0,105.0,2.0
Plot  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,1350.0,5.0,1.0,120.0,5.0
Super built-up  Area,18-Jul,Bhoganhalli,2 BHK,1447.0,2.0,1.0,75.97,2.0
Built-up  Area,Ready To Move,Margondanahalli,2 Bedroom,1140.0,2.0,1.0,60.0,2.0
Super built-up  Area,18-Jul,Bommanahalli,2 BHK,1170.0,2.0,3.0,34.0,2.0
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2 BHK,1160.0,2.0,2.0,46.39,2.0
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,1296.0,2.0,1.0,89.0,2.0
Built-up  Area,Ready To Move,Kempapura,3 BHK,1570.0,3.0,2.0,80.0,3.0
Super built-up  Area,Ready To Move,Nagappa Reddy Layout,3 BHK,1495.0,2.0,2.0,65.0,3.0
Super built-up  Area,Ready To Move,Hoodi,3 BHK,1530.0,2.0,2.0,67.0,3.0
Plot  Area,Ready To Move,Rajaji Nagar,5 Bedroom,900.0,4.0,0.0,140.0,5.0
Super built-up  Area,Ready To Move,Gunjur,3 BHK,1800.0,3.0,1.0,70.0,3.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1088.0,2.0,2.0,48.0,2.0
Super built-up  Area,19-Mar,Hosa Road,3 BHK,1533.0,3.0,1.0,98.18,3.0
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,1100.0,2.0,1.0,68.0,2.0
Built-up  Area,Ready To Move,Thubarahalli,3 BHK,1540.0,3.0,3.0,90.0,3.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,1244.0,3.0,2.0,48.0,2.0
Super built-up  Area,19-Mar,Hosa Road,2 BHK,1040.0,2.0,1.0,68.59,2.0
Built-up  Area,Ready To Move,Ex-Servicemen Colony Dinnur Main Road R.T.Nagar,6 BHK,1034.0,6.0,2.0,101.0,6.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1260.0,2.0,1.0,39.69,2.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1180.0,2.0,1.0,41.3,2.0
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,1245.0,2.0,2.0,100.0,2.0
Super built-up  Area,Ready To Move,Dollars Colony,3 BHK,1350.0,3.0,0.0,75.0,3.0
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,1464.0,3.0,2.0,56.0,3.0
Super built-up  Area,Ready To Move,Alur,1 BHK,470.0,2.0,1.0,10.0,1.0
Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,920.0,2.0,2.0,60.0,2.0
Built-up  Area,Ready To Move,Vijay Nagar,6 Bedroom,2300.0,7.0,0.0,160.0,6.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,1124.0,2.0,1.0,30.35,2.0
Super built-up  Area,19-Sep,Yelahanka New Town,4 BHK,2095.0,3.0,1.0,109.0,4.0
Super built-up  Area,20-Aug,Begur Road,2 BHK,1100.0,2.0,1.0,71.42,2.0
Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,1019.0,2.0,1.0,58.0,2.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,1756.0,3.0,2.0,128.0,3.0
Super built-up  Area,18-May,Bommasandra,3 BHK,1280.0,3.0,1.0,50.0,3.0
Plot  Area,Ready To Move,Kenchenahalli,4 Bedroom,1200.0,3.0,2.0,125.0,4.0
